ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX019156","53c3a764-321f-4e91-b17b-19be7f3a40ae","88189","09/11/2021 00:00 +11:00","PLX0191560010032573","Depot In","SYDNEY","",""
"PLX188111","","88317","09/11/2021 00:01 +11:00","PLX1881110020032536","Depot In","SYDNEY","",""
"PLX188068","","87444","09/11/2021 00:01 +11:00","PLX1880680020032263","Depot In","SYDNEY","",""
"PLX188233","","89010","09/11/2021 00:00 +11:00","PLX1882330070082104","Depot In","SYDNEY","",""
"PLX188065","67485","89330","09/11/2021 00:01 +11:00","PLX1880650090094213","Depot In","SYDNEY","",""
"PLX188065","67485","89330","09/11/2021 00:01 +11:00","PLX1880650020094213","Depot In","SYDNEY","",""
"PLX188233","","89010","09/11/2021 00:02 +11:00","PLX1882330080082104","Depot In","SYDNEY","",""
"PLX188195","","89349","09/11/2021 00:01 +11:00","PLX1881950030032590","Depot In","SYDNEY","",""
"PLX188068","","87444","09/11/2021 00:01 +11:00","PLX1880680030032263","Depot In","SYDNEY","",""
"PLX188207","","89363","09/11/2021 00:01 +11:00","PLX1882070020033130","Depot In","SYDNEY","",""
"PLX188222","","89401","09/11/2021 00:00 +11:00","PLX1882220010066169","Depot In","SYDNEY","",""
"PLX188402","","87673","09/11/2021 00:01 +11:00","PLX1884020020023910","Depot In","SYDNEY","",""
"PLX188029","","89302","09/11/2021 00:01 +11:00","PLX1880290010022747","Depot In","SYDNEY","",""
"PLX188111","","88317","09/11/2021 00:00 +11:00","PLX1881110030032536","Depot In","SYDNEY","",""
"PLX188221","","89381","09/11/2021 00:01 +11:00","PLX1882210020022517","Depot In","SYDNEY","",""
"PLX188233","","89010","09/11/2021 00:00 +11:00","PLX1882330040082104","Depot In","SYDNEY","",""
"PLX019147","8cb2afbf-22ec-4713-9b10-c61e0830236e","89405","09/11/2021 00:03 +11:00","PLX0191470020063095","Depot In","SYDNEY","",""
"PLX188028","","89301","09/11/2021 00:01 +11:00","PLX1880280020033166","Depot In","SYDNEY","",""
"PLX019148","c78f3103-40cc-437d-80cb-eacf0a487948","89404","09/11/2021 00:03 +11:00","PLX0191480070073230","Depot In","SYDNEY","",""
"PLX188030","","89304","09/11/2021 00:02 +11:00","PLX1880300050093163","Depot In","SYDNEY","",""
