ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX019101","170820ab-fd67-4ff8-8285-05f754bd7fec","88082","25/10/2021 07:55 +11:00","PLX0191010030072079","On Delivery","SYDNEY","",""
"PLX019101","170820ab-fd67-4ff8-8285-05f754bd7fec","88082","25/10/2021 07:55 +11:00","PLX0191010020072079","On Delivery","SYDNEY","",""
"PLX019101","170820ab-fd67-4ff8-8285-05f754bd7fec","88082","25/10/2021 07:56 +11:00","PLX0191010070072079","On Delivery","SYDNEY","",""
"PLX019101","170820ab-fd67-4ff8-8285-05f754bd7fec","88082","25/10/2021 07:56 +11:00","PLX0191010060072079","On Delivery","SYDNEY","",""
"PLX019101","170820ab-fd67-4ff8-8285-05f754bd7fec","88082","25/10/2021 07:57 +11:00","PLX0191010010072079","On Delivery","SYDNEY","",""
"PLX019101","170820ab-fd67-4ff8-8285-05f754bd7fec","88082","25/10/2021 07:57 +11:00","PLX0191010050072079","On Delivery","SYDNEY","",""
"PLX019101","170820ab-fd67-4ff8-8285-05f754bd7fec","88082","25/10/2021 07:57 +11:00","PLX0191010040072079","On Delivery","SYDNEY","",""
"DME186420","","22487","25/10/2021 08:40 +11:00","DME1864200010012011","On Delivery","SYDNEY","",""
"PLX019104","c8be23b4-71be-4311-ba96-90fbc42db6d3","87883","25/10/2021 08:26 +10:00","PLX0191040010014503","On Delivery","BRISBANE","",""
"PLX019050","6d5096c6-f02a-414b-b6f1-ddb89386ff7d","88763","25/10/2021 08:28 +10:00","PLX0190500010024500","On Delivery","BRISBANE","",""
"PLX019050","6d5096c6-f02a-414b-b6f1-ddb89386ff7d","88763","25/10/2021 08:37 +10:00","PLX0190500020024500","On Delivery","BRISBANE","",""
