ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX189904","","393503651002110300, 393503651002110324, 393503651002110317, 393503651002110171","17/11/2021 19:35 +11:00","PLX1899040010042747","Depot In","SYDNEY","",""
"PLX189818","","393503651002110355, 393503651002110362, 393503651002110379, 393503651002110409, 393503651002110393,","17/11/2021 19:35 +11:00","PLX1898180030063216","Depot In","SYDNEY","",""
"PLX189818","","393503651002110355, 393503651002110362, 393503651002110379, 393503651002110409, 393503651002110393,","17/11/2021 19:35 +11:00","PLX1898180020063216","Depot In","SYDNEY","",""
"PLX189811","","393503651002114315, 393503651002114308, 393503651002114322, 393503651002113967","17/11/2021 19:37 +11:00","PLX1898110040042220","Depot In","SYDNEY","",""
"PLX189828","","393503651002110140, 393503651002110164, 393503651002110157, 393503651002110133","17/11/2021 19:35 +11:00","PLX1898280010042450","Depot In","SYDNEY","",""
"PLX189510","","393503651002110454, 393503651002110478, 393503651002110492, 393503651002106532, 393503651002110461,","17/11/2021 19:35 +11:00","PLX1895100040066100","Depot In","SYDNEY","",""
"PLX189836","","393503651002110614, 393503651002110621, 393503651002110645, 393503651002110652, 393503651002110669,","17/11/2021 19:35 +11:00","PLX1898360010065049","Depot In","SYDNEY","",""
"PLX189510","","393503651002110454, 393503651002110478, 393503651002110492, 393503651002106532, 393503651002110461,","17/11/2021 19:35 +11:00","PLX1895100020066100","Depot In","SYDNEY","",""
"PLX189470","","393503651002106389, 393503651002106396, 393503651002106372, 393503651002106341, 393503651002106358,","17/11/2021 19:36 +11:00","PLX1894700070086171","Depot In","SYDNEY","",""
"PLX189817","","393503651002110522, 393503651002110584, 393503651002110560, 393503651002110607, 393503651002110553,","17/11/2021 19:36 +11:00","PLX1898170010096460","Depot In","SYDNEY","",""
"PLX189817","","393503651002110522, 393503651002110584, 393503651002110560, 393503651002110607, 393503651002110553,","17/11/2021 19:35 +11:00","PLX1898170030096460","Depot In","SYDNEY","",""
"PLX189818","","393503651002110355, 393503651002110362, 393503651002110379, 393503651002110409, 393503651002110393,","17/11/2021 19:35 +11:00","PLX1898180060063216","Depot In","SYDNEY","",""
"PLX189838","","393503651002113936, 393503651002114261, 393503651002114223, 393503651002113400, 393503651002114254,","17/11/2021 19:37 +11:00","PLX1898380030072564","Depot In","SYDNEY","",""
"PLX189906","","393503651002110744, 393503651002110805, 393503651002110775, 393503651002110768, 393503651002110751,","17/11/2021 19:38 +11:00","PLX1899060010072671","Depot In","SYDNEY","",""
