ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"DME186399","","22455","25/10/2021 08:37 +11:00","DME1863990030013216","Depot In","MELBOURNE","",""
"DME186568","","22512","25/10/2021 08:38 +11:00","DME1865680010013023","Depot In","MELBOURNE","",""
"PLX019049","ae7f8534-c52c-4606-85ea-34e13b7b9b1a","88702","25/10/2021 08:38 +11:00","PLX0190490020023723","Depot In","MELBOURNE","",""
"DME186433","","1037414","25/10/2021 08:39 +11:00","DME1864330030013040","Depot In","MELBOURNE","",""
"DME186424","","22431","25/10/2021 08:38 +11:00","DME1864240010013777","Depot In","MELBOURNE","",""
"PLX186765","","88869","25/10/2021 08:39 +11:00","PLX1867650030013201","Depot In","MELBOURNE","",""
"PLX019102","dfc25d81-b29b-47c3-8621-2342942e3e20","87413","25/10/2021 08:38 +11:00","PLX0191020010013030","Depot In","MELBOURNE","",""
"PLX186620","","88834","25/10/2021 08:38 +11:00","PLX1866200090013133","Depot In","MELBOURNE","",""
"PLX018808","3f5345fe-d48d-4c5b-b512-6f4285ee7d55","88079","25/10/2021 08:38 +11:00","PLX0188080080083030","Depot In","MELBOURNE","",""
