ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX189806","","393503651002114346, 393503651002109984, 393503651002109991, 393503651002114339","17/11/2021 19:05 +11:00","PLX1898060040044505","Depot In","SYDNEY","",""
"PLX019201","6245e68d-64ca-466e-a32b-51d0be8086f6","90102","17/11/2021 19:06 +11:00","PLX0192010010022880","Depot In","SYDNEY","",""
"PLX189842","","393503651002109939, 393503651002109915, 393503651002109922, 393503651002109946, 393503651002109953,","17/11/2021 19:05 +11:00","PLX1898420020066056","Depot In","SYDNEY","",""
"PLX189842","","393503651002109939, 393503651002109915, 393503651002109922, 393503651002109946, 393503651002109953,","17/11/2021 19:06 +11:00","PLX1898420030066056","Depot In","SYDNEY","",""
"PLX189835","","393503651002110812, 393503651002110843, 393503651002110850, 393503651002110867, 393503651002110836,","17/11/2021 19:05 +11:00","PLX1898350060073113","Depot In","SYDNEY","",""
"PLX189822","","393503651002110263, 393503651002109854","17/11/2021 19:07 +11:00","PLX1898220020022354","Depot In","SYDNEY","",""
"PLX189842","","393503651002109939, 393503651002109915, 393503651002109922, 393503651002109946, 393503651002109953,","17/11/2021 19:06 +11:00","PLX1898420040066056","Depot In","SYDNEY","",""
"PLX189788","","393503651002110096, 393503651002110119, 393503651002109878, 393503651002110126","17/11/2021 19:06 +11:00","PLX1897880030044068","Depot In","SYDNEY","",""
"PLX189838","","393503651002113936, 393503651002114261, 393503651002114223, 393503651002113400, 393503651002114254,","17/11/2021 19:06 +11:00","PLX1898380060072564","Depot In","SYDNEY","",""
"PLX189904","","393503651002110300, 393503651002110324, 393503651002110317, 393503651002110171","17/11/2021 19:05 +11:00","PLX1899040030042747","Depot In","SYDNEY","",""
"PLX189828","","393503651002110140, 393503651002110164, 393503651002110157, 393503651002110133","17/11/2021 19:05 +11:00","PLX1898280030042450","Depot In","SYDNEY","",""
"PLX189213","","393503651002110690, 393503651002110737, 393503651002110706, 393503651002110713, 393503651002110720","17/11/2021 19:05 +11:00","PLX1892130040085372","Depot In","SYDNEY","",""
"PLX189213","","393503651002110690, 393503651002110737, 393503651002110706, 393503651002110713, 393503651002110720","17/11/2021 19:07 +11:00","PLX1892130050085372","Depot In","SYDNEY","",""
"PLX189211","","393503651002110287, 393503651002110294","17/11/2021 19:07 +11:00","PLX1892110010033909","Depot In","SYDNEY","",""
"PLX189811","","393503651002114315, 393503651002114308, 393503651002114322, 393503651002113967","17/11/2021 19:07 +11:00","PLX1898110030042220","Depot In","SYDNEY","",""
"PLX189211","","393503651002110287, 393503651002110294","17/11/2021 19:07 +11:00","PLX1892110020033909","Depot In","SYDNEY","",""
