ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX018941","34a45ad8-1122-4d4b-a274-454e70c7a465","88278","14/10/2021 16:46 +11:00","PLX0189410010012282","Depot In","SYDNEY","",""
"PLX018894","6e3915d3-8173-4c8f-bbfc-179212f52b64","88232","14/10/2021 16:56 +11:00","PLX0188940060063175","Depot In","SYDNEY","",""
"PLX018803","b3e620f9-0e27-4fa5-960d-b6a4b2637fca","88066","14/10/2021 16:46 +11:00","PLX0188030040062285","Depot In","SYDNEY","",""
"PLX018921","34cb1b43-c971-42a0-b1ca-30fb2835681a","88265","14/10/2021 16:56 +11:00","PLX0189210030063023","Depot In","SYDNEY","",""
"PLX018930","43ad8aad-e27d-4f9c-a1fd-8da3f38e7c33","87263","14/10/2021 16:46 +11:00","PLX0189300020174870","Depot In","SYDNEY","",""
"PLX018892","56b1d9c0-5cb0-4eb2-9ef9-23394b5b0ea8","88230","14/10/2021 16:56 +11:00","PLX0188920030062756","Depot In","SYDNEY","",""
"PLX018889","bffe6c1d-0a36-491a-ae3d-025b053b2109","88227","14/10/2021 16:46 +11:00","PLX0188890020023630","Depot In","SYDNEY","",""
"PLX018803","b3e620f9-0e27-4fa5-960d-b6a4b2637fca","88066","14/10/2021 16:46 +11:00","PLX0188030060062285","Depot In","SYDNEY","",""
"PLX018901","ee4bbbe2-47a3-40ec-9f18-2ab00a27f092","88240","14/10/2021 16:46 +11:00","PLX0189010010022041","Depot In","SYDNEY","",""
"PLX018937","dbc0258a-cc59-45df-9a29-36469765db7f","88274","14/10/2021 16:46 +11:00","PLX0189370010022527","Depot In","SYDNEY","",""
"PLX018942","57d0f891-019a-4627-80a3-75d8191c95d1","88279","14/10/2021 16:47 +11:00","PLX0189420010013025","Depot In","SYDNEY","",""
"PLX018889","bffe6c1d-0a36-491a-ae3d-025b053b2109","88227","14/10/2021 16:46 +11:00","PLX0188890010023630","Depot In","SYDNEY","",""
"PLX018901","ee4bbbe2-47a3-40ec-9f18-2ab00a27f092","88240","14/10/2021 16:46 +11:00","PLX0189010020022041","Depot In","SYDNEY","",""
"PLX018918","f7e67cc6-e7a9-4a9a-a910-e138c3a18141","88262","14/10/2021 16:46 +11:00","PLX0189180020022905","Depot In","SYDNEY","",""
"PLX018947","ecb5326e-be98-4447-94f9-105075fab700","88723","14/10/2021 16:46 +11:00","PLX0189470010022750","Depot In","SYDNEY","",""
"PLX185493","","88206","14/10/2021 16:46 +11:00","PLX1854930010012650","Depot In","SYDNEY","",""
"PLX185490","","88203","14/10/2021 16:47 +11:00","PLX1854900030013072","Depot In","SYDNEY","",""
"PLX018939","bdef29f4-2a77-46c3-8d29-76e669792db4","88276","14/10/2021 16:47 +11:00","PLX0189390010016017","Depot In","SYDNEY","",""
"PLX018958","1ba2481c-36ad-466d-bab7-0af5ef006932","88199","14/10/2021 16:47 +11:00","PLX0189580010012913","Depot In","SYDNEY","",""
"PLX185492","","88205","14/10/2021 16:43 +11:00","PLX1854920010013107","Depot In","SYDNEY","",""
"PLX018895","49d0deb3-e9f4-4686-98bd-e4692c2e23ae","88222","14/10/2021 16:57 +11:00","PLX0188950020063764","Depot In","SYDNEY","",""
"PLX018930","43ad8aad-e27d-4f9c-a1fd-8da3f38e7c33","87263","14/10/2021 16:43 +11:00","PLX0189300050174870","Depot In","SYDNEY","",""
"PLX018949","f081d36f-3407-456f-a2e6-a21157033bf7","88311","14/10/2021 16:47 +11:00","PLX0189490010014160","Depot In","SYDNEY","",""
"PLX018937","dbc0258a-cc59-45df-9a29-36469765db7f","88274","14/10/2021 16:47 +11:00","PLX0189370020022527","Depot In","SYDNEY","",""
"PLX018930","43ad8aad-e27d-4f9c-a1fd-8da3f38e7c33","87263","14/10/2021 16:44 +11:00","PLX0189300040174870","Depot In","SYDNEY","",""
"PLX018956","2433ebbf-1bef-4f91-92be-dfb98ea20ba2","88319","14/10/2021 16:47 +11:00","PLX0189560010012206","Depot In","SYDNEY","",""
"PLX018918","f7e67cc6-e7a9-4a9a-a910-e138c3a18141","88262","14/10/2021 16:44 +11:00","PLX0189180010022905","Depot In","SYDNEY","",""
"PLX018947","ecb5326e-be98-4447-94f9-105075fab700","88723","14/10/2021 16:44 +11:00","PLX0189470020022750","Depot In","SYDNEY","",""
"PLX018948","7b12f59f-aff8-4255-838b-b0518d873375","88310","14/10/2021 16:47 +11:00","PLX0189480010016110","Depot In","SYDNEY","",""
