ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX188836","","89545","12/11/2021 19:58 +11:00","PLX1888360020062430","Depot In","SYDNEY","",""
"PLX189060","","89621","12/11/2021 19:58 +11:00","PLX1890600020022165","Depot In","SYDNEY","",""
"PLX188838","","89546","12/11/2021 19:58 +11:00","PLX1888380020064701","Depot In","SYDNEY","",""
"PLX019174","ca6f474a-03d1-4456-9d27-fffafb5c6166","89297","12/11/2021 19:58 +11:00","PLX0191740010013799","Depot In","SYDNEY","",""
"PLX188842","","89463","12/11/2021 19:58 +11:00","PLX1888420030043227","Depot In","SYDNEY","",""
"PLX188847","","89554","12/11/2021 19:59 +11:00","PLX1888470010042261","Depot In","SYDNEY","",""
"PLX189028","","89589","12/11/2021 19:58 +11:00","PLX1890280010015244","Depot In","SYDNEY","",""
"PLX189016","","89520","12/11/2021 19:59 +11:00","PLX1890160010053575","Depot In","SYDNEY","",""
"PLX188839","","89547","12/11/2021 19:59 +11:00","PLX1888390010072162","Depot In","SYDNEY","",""
"PLX189001","","89388","12/11/2021 19:59 +11:00","PLX1890010010023218","Depot In","SYDNEY","",""
"PLX188842","","89463","12/11/2021 19:59 +11:00","PLX1888420040043227","Depot In","SYDNEY","",""
"PLX188933","","89448","12/11/2021 19:59 +11:00","PLX1889330010022208","Depot In","SYDNEY","",""
