ConsignmentNumber,UniqueId,SenderReference,StatusDateTime,Status,StatusTag
"PLX189044","","393503651002101506, 393503651002101513","16/11/2021 15:56 +11:00","Delivered",""
"DME189174","","1037751","16/11/2021 15:58 +11:00","MobilePickupComplete",""
"DME189174","","1037751","16/11/2021 15:58 +11:00","InTransit",""
"DME189548","","","16/11/2021 15:58 +11:00","MobilePickupComplete",""
"DME189548","","","16/11/2021 15:58 +11:00","InTransit",""
"DME189396","","","16/11/2021 15:58 +11:00","MobilePickupComplete",""
"DME189396","","","16/11/2021 15:58 +11:00","InTransit",""
"DME189380","","","16/11/2021 15:58 +11:00","MobilePickupComplete",""
"DME189380","","","16/11/2021 15:58 +11:00","InTransit",""
"DME189378","","","16/11/2021 15:58 +11:00","MobilePickupComplete",""
"DME189378","","","16/11/2021 15:58 +11:00","InTransit",""
"DME189376","","","16/11/2021 15:58 +11:00","MobilePickupComplete",""
"DME189376","","","16/11/2021 15:58 +11:00","InTransit",""
