ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX187147","","89039","01/11/2021 17:58 +11:00","PLX1871470020032444","Depot In","SYDNEY","",""
"PLX187316","","89048","01/11/2021 17:56 +11:00","PLX1873160010012904","Depot In","SYDNEY","",""
"PLX019113","7f8fc880-9440-49a9-a79e-c01131eaefdd","88858","01/11/2021 17:55 +11:00","PLX0191130030073023","Depot In","SYDNEY","",""
"PLX187014","","88992","01/11/2021 17:55 +11:00","PLX1870140010022290","Depot In","SYDNEY","",""
"PLX187510","","89174","01/11/2021 17:59 +11:00","PLX1875100020062229","Depot In","SYDNEY","",""
"PLX187328","","89068","01/11/2021 17:59 +11:00","PLX1873280020062527","Depot In","SYDNEY","",""
"PLX187637","","89216","01/11/2021 17:58 +11:00","PLX1876370040062750","Depot In","SYDNEY","",""
"PLX187327","","89070","01/11/2021 17:58 +11:00","PLX1873270010022049","Depot In","SYDNEY","",""
"PLX187644","","89233","01/11/2021 17:58 +11:00","PLX1876440020024214","Depot In","SYDNEY","",""
"PLX187310","","89040","01/11/2021 17:59 +11:00","PLX1873100020043153","Depot In","SYDNEY","",""
"PLX019113","7f8fc880-9440-49a9-a79e-c01131eaefdd","88858","01/11/2021 17:55 +11:00","PLX0191130010073023","Depot In","SYDNEY","",""
"PLX187147","","89039","01/11/2021 17:58 +11:00","PLX1871470030032444","Depot In","SYDNEY","",""
"PLX187637","","89216","01/11/2021 17:59 +11:00","PLX1876370020062750","Depot In","SYDNEY","",""
"PLX187329","","89067","01/11/2021 17:59 +11:00","PLX1873290020062747","Depot In","SYDNEY","",""
"PLX187310","","89040","01/11/2021 17:58 +11:00","PLX1873100010043153","Depot In","SYDNEY","",""
"PLX187845","","89288","01/11/2021 17:59 +11:00","PLX1878450020062450","Depot In","SYDNEY","",""
