ConsignmentNumber,UniqueId,SenderReference,StatusDateTime,Status,StatusTag
"PLX019206","ebf64667-7d63-46dd-8fb5-dc4c19263317","90135","18/11/2021 10:52 +11:00","Assigned",""
"PLX189909","","393503651002112281","18/11/2021 10:52 +11:00","Assigned",""
"PLX019207","c4dba120-8543-4dd5-a903-bc9ef4fa69e7","90138","18/11/2021 10:52 +11:00","Assigned",""
"PLX189866","","393503651002112335, 393503651002112342, 393503651002112304, 393503651002112311, 393503651002112328","18/11/2021 10:52 +11:00","Assigned",""
"PLX019208","dd93fe3d-0f02-4f79-85f1-4d477719f2f8","90139","18/11/2021 10:52 +11:00","Assigned",""
"PLX019209","19604f91-2164-44d8-aad9-ff2207222289","90140","18/11/2021 10:52 +11:00","Assigned",""
"PLX019210","0da45253-3e82-4a28-9c54-c6d99f8db774","90141","18/11/2021 10:52 +11:00","Assigned",""
"PLX019211","df45faa4-82d9-4b5f-94bb-6283a063686c","90142","18/11/2021 10:52 +11:00","Assigned",""
"PLX019212","d82c9cae-d6ab-45cb-a8bc-6e0b9e336735","90143","18/11/2021 10:52 +11:00","Assigned",""
"PLX019213","5b770578-d894-4fa3-a804-825bf02c31fb","90144","18/11/2021 10:52 +11:00","Assigned",""
"PLX019214","c04992f9-ee42-4c63-8659-0f2853cb29a3","90145","18/11/2021 10:52 +11:00","Assigned",""
"PLX019215","5358dbbf-25d6-4576-a50a-0e19186da351","90146","18/11/2021 10:52 +11:00","Assigned",""
"PLX019216","692e20ca-b74f-4e97-8d44-37d77bc69bb8","90147","18/11/2021 10:52 +11:00","Assigned",""
"PLX019217","259e2ff3-98bc-4fcc-a944-fedfc48a3899","90148","18/11/2021 10:52 +11:00","Assigned",""
"PLX019218","59ce3318-9540-4214-9397-62ff0f962828","90149","18/11/2021 10:52 +11:00","Assigned",""
"PLX019219","62d5b2c8-593c-424d-a955-b5a9ff4f9ff3","90150","18/11/2021 10:52 +11:00","Assigned",""
"PLX019220","45f19af9-ffa7-48f0-b47f-c13a4703b358","90151","18/11/2021 10:53 +11:00","Assigned",""
"PLX019221","a6c8f493-f245-45f7-93ef-43b0fcbee47d","90135","18/11/2021 10:53 +11:00","Assigned",""
"PLX019222","c11c0e89-475a-4924-bdf6-c30589aa598c","90170","18/11/2021 10:53 +11:00","Assigned",""
"PLX019223","645a54e6-2e80-4f25-9f9b-41d85eeb9664","90178","18/11/2021 10:53 +11:00","Assigned",""
"PLX189975","","393503651002112250, 393503651002112267, 393503651002112243, 393503651001972442","18/11/2021 10:53 +11:00","Assigned",""
"PLX189976","","393503651002112205, 393503651002112229, 393503651002112199, 393503651002112212, 393503651002112182,","18/11/2021 10:53 +11:00","Assigned",""
"PLX189911","","393503651002112151, 393503651002112144, 393503651002112137, 393503651002112168, 393503651002112175","18/11/2021 10:53 +11:00","Assigned",""
"PLX019224","c01a0dab-8663-41ec-99a1-a637ba2359bf","90179","18/11/2021 10:53 +11:00","Assigned",""
"PLX189980","","393503651002113790","18/11/2021 10:53 +11:00","Assigned",""
"PLX190262","","393503651002113479, 393503651002113806, 393503651002113844, 393503651002113486, 393503651002113493,","18/11/2021 10:53 +11:00","Assigned",""
"PLX019225","0e2b66ed-5a31-4bcc-80ea-31a0845f1310","90135","18/11/2021 10:53 +11:00","Assigned",""
