ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX019063","fa4b6f40-f8cc-4e8a-9158-0bccf23572fc","88210","25/10/2021 16:13 +08:00","PLX0190630010076020","Depot In","PERTH","",""
"PLX019063","fa4b6f40-f8cc-4e8a-9158-0bccf23572fc","88210","25/10/2021 16:13 +08:00","PLX0190630050076020","Depot In","PERTH","",""
"PLX019063","fa4b6f40-f8cc-4e8a-9158-0bccf23572fc","88210","25/10/2021 16:13 +08:00","PLX0190630030076020","Depot In","PERTH","",""
"PLX019063","fa4b6f40-f8cc-4e8a-9158-0bccf23572fc","88210","25/10/2021 16:13 +08:00","PLX0190630040076020","Depot In","PERTH","",""
"PLX019063","fa4b6f40-f8cc-4e8a-9158-0bccf23572fc","88210","25/10/2021 16:13 +08:00","PLX0190630060076020","Depot In","PERTH","",""
"PLX019063","fa4b6f40-f8cc-4e8a-9158-0bccf23572fc","88210","25/10/2021 16:13 +08:00","PLX0190630070076020","Depot In","PERTH","",""
"PLX019063","fa4b6f40-f8cc-4e8a-9158-0bccf23572fc","88210","25/10/2021 16:13 +08:00","PLX0190630020076020","Depot In","PERTH","",""
"PLX185495","","88208","25/10/2021 16:14 +08:00","PLX1854950030016012","Depot In","PERTH","",""
