ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX189456","","393503651002102770, 393503651002102763","15/11/2021 19:42 +11:00","PLX1894560020022251","Depot In","SYDNEY","",""
"PLX189601","","393503651002096178, 393503651002096192, 393503651002096222, 393503651002096215, 393503651002096208,","15/11/2021 19:44 +11:00","PLX1896010040092206","Depot In","SYDNEY","",""
"PLX189044","","393503651002101506, 393503651002101513","15/11/2021 19:41 +11:00","PLX1890440010022650","Depot In","SYDNEY","",""
"PLX189226","","393503651002102657","15/11/2021 19:42 +11:00","PLX1892260010012322","Depot In","SYDNEY","",""
"PLX189511","","393503651002107379, 393503651002107393, 393503651002107386, 393503651002107409","15/11/2021 19:43 +11:00","PLX1895110040043977","Depot In","SYDNEY","",""
"PLX189608","","393503651002107287","15/11/2021 19:42 +11:00","PLX1896080010012773","Depot In","SYDNEY","",""
"PLX189454","","393503651002102558, 393503651002102541, 393503651002102510, 393503651002102503, 393503651002102534,","15/11/2021 19:42 +11:00","PLX1894540020062482","Depot In","SYDNEY","",""
"PLX189013","","393503651002099674, 393503651002100813","15/11/2021 19:42 +11:00","PLX1890130010023272","Depot In","SYDNEY","",""
"PLX189052","","393503651002101544, 393503651002101551, 393503651002101568","15/11/2021 19:40 +11:00","PLX1890520020032280","Depot In","SYDNEY","",""
"PLX189044","","393503651002101506, 393503651002101513","15/11/2021 19:41 +11:00","PLX1890440020022650","Depot In","SYDNEY","",""
"PLX019169","1a7ebb55-be89-42ae-8b90-934e51994828","89663","15/11/2021 19:40 +11:00","PLX0191690010015165","Depot In","SYDNEY","",""
"PLX189209","","393503651002100509, 393503651002100493, 393503651002100486, 393503651002100479","15/11/2021 19:43 +11:00","PLX1892090030042614","Depot In","SYDNEY","",""
"PLX189209","","393503651002100509, 393503651002100493, 393503651002100486, 393503651002100479","15/11/2021 19:41 +11:00","PLX1892090010042614","Depot In","SYDNEY","",""
"PLX189052","","393503651002101544, 393503651002101551, 393503651002101568","15/11/2021 19:40 +11:00","PLX1890520010032280","Depot In","SYDNEY","",""
"PLX189480","","393503651002102701, 393503651002102718","15/11/2021 19:42 +11:00","PLX1894800010023825","Depot In","SYDNEY","",""
"PLX189235","","393503651002101605, 393503651002101612, 393503651002101629","15/11/2021 19:40 +11:00","PLX1892350010032825","Depot In","SYDNEY","",""
"PLX189058","","393503651002101520, 393503651002101537","15/11/2021 19:41 +11:00","PLX1890580020023978","Depot In","SYDNEY","",""
"PLX189227","","393503651002101575, 393503651002101582, 393503651002101599","15/11/2021 19:40 +11:00","PLX1892270020032320","Depot In","SYDNEY","",""
"PLX189046","","393503651002102282, 393503651002102275","15/11/2021 19:41 +11:00","PLX1890460010024301","Depot In","SYDNEY","",""
"PLX189046","","393503651002102282, 393503651002102275","15/11/2021 19:40 +11:00","PLX1890460020024301","Depot In","SYDNEY","",""
"PLX189449","","393503651002102626, 393503651002102602, 393503651002102589, 393503651002102619, 393503651002102640,","15/11/2021 19:43 +11:00","PLX1894490030076065","Depot In","SYDNEY","",""
"PLX189227","","393503651002101575, 393503651002101582, 393503651002101599","15/11/2021 19:40 +11:00","PLX1892270010032320","Depot In","SYDNEY","",""
"PLX189235","","393503651002101605, 393503651002101612, 393503651002101629","15/11/2021 19:40 +11:00","PLX1892350030032825","Depot In","SYDNEY","",""
"PLX189451","","393503651002102305, 393503651002102299","15/11/2021 19:41 +11:00","PLX1894510020023337","Depot In","SYDNEY","",""
"PLX189449","","393503651002102626, 393503651002102602, 393503651002102589, 393503651002102619, 393503651002102640,","15/11/2021 19:42 +11:00","PLX1894490010076065","Depot In","SYDNEY","",""
"PLX189227","","393503651002101575, 393503651002101582, 393503651002101599","15/11/2021 19:40 +11:00","PLX1892270030032320","Depot In","SYDNEY","",""
"PLX189451","","393503651002102305, 393503651002102299","15/11/2021 19:41 +11:00","PLX1894510010023337","Depot In","SYDNEY","",""
"PLX189460","","393503651002102756, 393503651002102749","15/11/2021 19:42 +11:00","PLX1894600020024152","Depot In","SYDNEY","",""
"PLX189627","","393503651002107157, 393503651002107171, 393503651002107164","15/11/2021 19:41 +11:00","PLX1896270030032794","Depot In","SYDNEY","",""
"PLX189032","","393503651002101483, 393503651002101490","15/11/2021 19:41 +11:00","PLX1890320020022282","Depot In","SYDNEY","",""
"PLX189240","","393503651002102664, 393503651002102671, 393503651002102695, 393503651002102688","15/11/2021 19:42 +11:00","PLX1892400010042650","Depot In","SYDNEY","",""
"PLX189058","","393503651002101520, 393503651002101537","15/11/2021 19:41 +11:00","PLX1890580010023978","Depot In","SYDNEY","",""
"PLX189032","","393503651002101483, 393503651002101490","15/11/2021 19:41 +11:00","PLX1890320010022282","Depot In","SYDNEY","",""
