ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX187629","","89212","05/11/2021 19:00 +11:00","PLX1876290050066230","Depot In","SYDNEY","",""
"PLX019150","1e7d1c35-8d8c-48e4-998d-b1832de56fd0","89169","05/11/2021 19:00 +11:00","PLX0191500020023953","Depot In","SYDNEY","",""
"PLX188205","","89335","05/11/2021 19:00 +11:00","PLX1882050030072347","Depot In","SYDNEY","",""
"PLX188227","","89408","05/11/2021 19:01 +11:00","PLX1882270010042260","Depot In","SYDNEY","",""
"PLX188488","","87046","05/11/2021 19:00 +11:00","PLX1884880010022570","Depot In","SYDNEY","",""
"PLX188217","","89392","05/11/2021 19:01 +11:00","PLX1882170010016166","Depot In","SYDNEY","",""
"PLX188066","","87306","05/11/2021 19:01 +11:00","PLX1880660010033754","Depot In","SYDNEY","",""
"PLX188059","","89326","05/11/2021 19:01 +11:00","PLX1880590010013039","Depot In","SYDNEY","",""
"PLX019150","1e7d1c35-8d8c-48e4-998d-b1832de56fd0","89169","05/11/2021 19:01 +11:00","PLX0191500010023953","Depot In","SYDNEY","",""
"PLX188270","","89386","05/11/2021 19:00 +11:00","PLX1882700010044179","Depot In","SYDNEY","",""
"PLX188314","","89417","05/11/2021 19:02 +11:00","PLX1883140040042650","Depot In","SYDNEY","",""
"PLX187676","","89261","05/11/2021 19:02 +11:00","PLX1876760040043926","Depot In","SYDNEY","",""
"PLX188424","","89415","05/11/2021 19:02 +11:00","PLX1884240010016230","Depot In","SYDNEY","",""
"PLX019151","f7772b79-4c2c-4fe9-ae76-6edb6a7b6bc1","89456","05/11/2021 19:02 +11:00","PLX0191510010013095","Depot In","SYDNEY","",""
"DME188394","","22565","05/11/2021 19:02 +11:00","DME1883940020033085","Depot In","SYDNEY","",""
"PLX188429","","89438","05/11/2021 19:02 +11:00","PLX1884290040042540","Depot In","SYDNEY","",""
"PLX188474","","89428","05/11/2021 19:02 +11:00","PLX1884740010013088","Depot In","SYDNEY","",""
"PLX188426","","89434","05/11/2021 19:02 +11:00","PLX1884260010014715","Depot In","SYDNEY","",""
"PLX187676","","89261","05/11/2021 19:02 +11:00","PLX1876760020043926","Depot In","SYDNEY","",""
"PLX188203","","89360","05/11/2021 19:02 +11:00","PLX1882030040042206","Depot In","SYDNEY","",""
"PLX187629","","89212","05/11/2021 19:02 +11:00","PLX1876290040066230","Depot In","SYDNEY","",""
"DME188394","","22565","05/11/2021 19:02 +11:00","DME1883940010033085","Depot In","SYDNEY","",""
