ConsignmentNumber,UniqueId,SenderReference,StatusDateTime,Status,StatusTag
"PLX189614","","393503651002107416","16/11/2021 19:00 +11:00","InDepot",""
"PLX189600","","393503651002102473","16/11/2021 19:00 +11:00","InDepot",""
"PLX189637","","393503651002107959, 393503651002107942, 393503651002107935","16/11/2021 19:01 +11:00","InDepot",""
"PLX189630","","393503651002108048, 393503651002108055","16/11/2021 19:02 +11:00","InDepot",""
"PLX189633","","393503651002107980, 393503651002107997, 393503651002107966, 393503651002107973","16/11/2021 19:02 +11:00","InDepot",""
"PLX189628","","393503651002108031, 393503651002108024","16/11/2021 19:03 +11:00","InDepot",""
"PLX019190","b8b48847-71e9-49a5-8637-1c82d8578691","89733","16/11/2021 19:03 +11:00","InDepot",""
"PLX188481","","89432","16/11/2021 19:00 +11:00","InDepot",""
"PLX189513","","393503651002108154, 393503651002108147, 393503651002108178, 393503651002108185, 393503651002108161,","16/11/2021 19:01 +11:00","InDepot",""
"PLX189604","","393503651002108314, 393503651002108291, 393503651002108307","16/11/2021 19:00 +11:00","InDepot",""
"PLX189632","","393503651002108000, 393503651002108017","16/11/2021 19:00 +11:00","InDepot",""
