ConsignmentNumber,UniqueId,SenderReference,StatusDateTime,Status,StatusTag
"PLX188628","","89478","16/11/2021 18:50 +11:00","InDepot",""
"PLX188624","","89470","16/11/2021 18:50 +11:00","InDepot",""
"PLX188807","","89402","16/11/2021 18:51 +11:00","InDepot",""
"PLX188740","","89507","16/11/2021 18:51 +11:00","InDepot",""
"PLX188739","","89506","16/11/2021 18:50 +11:00","InDepot",""
"PLX019172","43f642bb-ee3b-4d90-8c76-6c5fe1018d9f","89666","16/11/2021 18:54 +11:00","InDepot",""
"PLX189027","","393503651002104996","16/11/2021 18:54 +11:00","InDepot",""
"PLX188635","","89487","16/11/2021 18:53 +11:00","InDepot",""
"PLX189792","","393503651002105108","16/11/2021 18:54 +11:00","InDepot",""
"PLX188622","","89467","16/11/2021 18:53 +11:00","InDepot",""
"PLX019170","04fb2409-6a1f-408c-acb5-eed958036269","89664","16/11/2021 18:54 +11:00","InDepot",""
"PLX189638","","393503651002105115","16/11/2021 18:54 +11:00","InDepot",""
"PLX019162","b2e4e9ce-6df7-4a58-8fc0-15ec97cc8cd9","89562","16/11/2021 18:54 +11:00","InDepot",""
"PLX019171","a44c1070-9255-4f92-a03a-f54ce07b711f","89665","16/11/2021 18:54 +11:00","InDepot",""
"PLX019185","14ce5274-5d37-4434-84d8-380eb63c6c77","89096","16/11/2021 18:54 +11:00","InDepot",""
"PLX019192","133cdbfc-ae0e-4d85-bd13-2d40dd79707f","89198","16/11/2021 18:54 +11:00","InDepot",""
