ConsignmentNumber,UniqueId,SenderReference,StatusDateTime,Status,StatusTag
"PLX189906","","393503651002110744, 393503651002110805, 393503651002110775, 393503651002110768, 393503651002110751,","17/11/2021 13:37 +11:00","Assigned",""
"PLX189822","","393503651002110263, 393503651002109854","17/11/2021 13:37 +11:00","Assigned",""
"PLX189648","","393503651002101742, 393503651002101728, 393503651002101759, 393503651002101766, 393503651002101773,","17/11/2021 13:37 +11:00","Assigned",""
"PLX189211","","393503651002110287, 393503651002110294","17/11/2021 13:37 +11:00","Assigned",""
"PLX189828","","393503651002110140, 393503651002110164, 393503651002110157, 393503651002110133","17/11/2021 13:37 +11:00","Assigned",""
"PLX189881","","393503651002106662","17/11/2021 13:37 +11:00","Assigned",""
"PLX189835","","393503651002110812, 393503651002110843, 393503651002110850, 393503651002110867, 393503651002110836,","17/11/2021 13:37 +11:00","Assigned",""
"PLX189868","","393503651002106556","17/11/2021 13:37 +11:00","Assigned",""
"PLX190066","","393503651002110331","17/11/2021 13:37 +11:00","Assigned",""
"PLX189840","69197","393503651002110911, 393503651002110881, 393503651002110904, 393503651002110898","17/11/2021 13:37 +11:00","Assigned",""
"PLX189865","","393503651002102268","17/11/2021 13:37 +11:00","Assigned",""
"PLX189839","","393503651002102237","17/11/2021 13:37 +11:00","Assigned",""
"PLX189907","","393503651002110423, 393503651002110188, 393503651002110416","17/11/2021 13:37 +11:00","Assigned",""
"PLX189846","","393503651002102091","17/11/2021 13:37 +11:00","Assigned",""
"PLX189818","","393503651002110355, 393503651002110362, 393503651002110379, 393503651002110409, 393503651002110393,","17/11/2021 13:37 +11:00","Assigned",""
"PLX189519","","393503651002101865, 393503651002101872","17/11/2021 13:37 +11:00","Assigned",""
"PLX189623","","393503651002110508","17/11/2021 13:37 +11:00","Assigned",""
"PLX189645","","393503651002105573, 393503651002105597","17/11/2021 13:37 +11:00","Assigned",""
"PLX189071","","393503651002105047, 393503651002105030","17/11/2021 13:37 +11:00","Assigned",""
