ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX187828","","89272","04/11/2021 15:20 +11:00","PLX1878280040085152","Reserved 15","SYDNEY","",""
"PLX187828","","89272","04/11/2021 15:20 +11:00","PLX1878280030085152","Reserved 15","SYDNEY","",""
"PLX187820","","89268","04/11/2021 15:21 +11:00","PLX1878200020044305","Reserved 15","SYDNEY","",""
"PLX187839","","89264","04/11/2021 15:21 +11:00","PLX1878390020025608","Reserved 15","SYDNEY","",""
"PLX187838","","89282","04/11/2021 15:21 +11:00","PLX1878380020022880","Reserved 15","SYDNEY","",""
"PLX187830","","89276","04/11/2021 15:21 +11:00","PLX1878300020023844","Reserved 15","SYDNEY","",""
"PLX187863","","88291","04/11/2021 15:21 +11:00","PLX1878630080092582","Reserved 15","SYDNEY","",""
"PLX187828","","89272","04/11/2021 15:21 +11:00","PLX1878280070085152","Reserved 15","SYDNEY","",""
