ConsignmentNumber,UniqueId,SenderReference,StatusDateTime,Status,StatusTag
"PLX189791","","393503651002102114, 393503651002102107","17/11/2021 09:20 +11:00","Assigned",""
"PLX189839","","393503651002102237","17/11/2021 09:20 +11:00","Assigned",""
"PLX189853","","393503651002102244","17/11/2021 09:20 +11:00","Assigned",""
"PLX189865","","393503651002102268","17/11/2021 09:20 +11:00","Assigned",""
"PLX189868","","393503651002106556","17/11/2021 09:20 +11:00","Assigned",""
"PLX189881","","393503651002106662","17/11/2021 09:20 +11:00","Assigned",""
"PLX189640","","393503651002106716, 393503651002106723","17/11/2021 09:20 +11:00","Assigned",""
"PLX189836","","393503651002110614, 393503651002110621, 393503651002110645, 393503651002110652, 393503651002110669,","17/11/2021 09:20 +11:00","Assigned",""
"PLX189623","","393503651002110508","17/11/2021 09:20 +11:00","Assigned",""
"PLX189818","","393503651002110355, 393503651002110362, 393503651002110379, 393503651002110409, 393503651002110393,","17/11/2021 09:20 +11:00","Assigned",""
"PLX189907","","393503651002110423, 393503651002110188, 393503651002110416","17/11/2021 09:20 +11:00","Assigned",""
"PLX189817","","393503651002110522, 393503651002110584, 393503651002110560, 393503651002110607, 393503651002110553,","17/11/2021 09:20 +11:00","Assigned",""
"PLX189510","","393503651002110454, 393503651002110478, 393503651002110492, 393503651002106532, 393503651002110461,","17/11/2021 09:20 +11:00","Assigned",""
"PLX190066","","393503651002110331","17/11/2021 09:20 +11:00","Assigned",""
"PLX189904","","393503651002110300, 393503651002110324, 393503651002110317, 393503651002110171","17/11/2021 09:20 +11:00","Assigned",""
"PLX189881","","393503651002106662","17/11/2021 09:20 +11:00","Assigned",""
"PLX189836","","393503651002110614, 393503651002110621, 393503651002110645, 393503651002110652, 393503651002110669,","17/11/2021 09:20 +11:00","Assigned",""
"PLX189623","","393503651002110508","17/11/2021 09:20 +11:00","Assigned",""
"PLX189818","","393503651002110355, 393503651002110362, 393503651002110379, 393503651002110409, 393503651002110393,","17/11/2021 09:20 +11:00","Assigned",""
"PLX189817","","393503651002110522, 393503651002110584, 393503651002110560, 393503651002110607, 393503651002110553,","17/11/2021 09:20 +11:00","Assigned",""
"PLX189510","","393503651002110454, 393503651002110478, 393503651002110492, 393503651002106532, 393503651002110461,","17/11/2021 09:20 +11:00","Assigned",""
"PLX190066","","393503651002110331","17/11/2021 09:20 +11:00","Assigned",""
"PLX189904","","393503651002110300, 393503651002110324, 393503651002110317, 393503651002110171","17/11/2021 09:20 +11:00","Assigned",""
"PLX189881","","393503651002106662","17/11/2021 09:20 +11:00","Assigned",""
"PLX189836","","393503651002110614, 393503651002110621, 393503651002110645, 393503651002110652, 393503651002110669,","17/11/2021 09:20 +11:00","Assigned",""
"PLX189623","","393503651002110508","17/11/2021 09:20 +11:00","Assigned",""
"PLX189818","","393503651002110355, 393503651002110362, 393503651002110379, 393503651002110409, 393503651002110393,","17/11/2021 09:20 +11:00","Assigned",""
"PLX189817","","393503651002110522, 393503651002110584, 393503651002110560, 393503651002110607, 393503651002110553,","17/11/2021 09:20 +11:00","Assigned",""
"PLX189510","","393503651002110454, 393503651002110478, 393503651002110492, 393503651002106532, 393503651002110461,","17/11/2021 09:20 +11:00","Assigned",""
"PLX190066","","393503651002110331","17/11/2021 09:20 +11:00","Assigned",""
"PLX189904","","393503651002110300, 393503651002110324, 393503651002110317, 393503651002110171","17/11/2021 09:20 +11:00","Assigned",""
"PLX189904","","393503651002110300, 393503651002110324, 393503651002110317, 393503651002110171","17/11/2021 09:20 +11:00","Assigned",""
