ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX189005","","89630","15/11/2021 12:13 +11:00","PLX1890050020064554","Depot In","BRISBANE","",""
"PLX188848","","393503651002086322, 393503651002086360, 393503651002086339, 393503651002086346, 393503651002086445,","15/11/2021 08:20 +10:00","PLX1888480020094030","On Delivery","BRISBANE","",""
"PLX188848","","393503651002086322, 393503651002086360, 393503651002086339, 393503651002086346, 393503651002086445,","15/11/2021 08:20 +10:00","PLX1888480030094030","On Delivery","BRISBANE","",""
"PLX188848","","393503651002086322, 393503651002086360, 393503651002086339, 393503651002086346, 393503651002086445,","15/11/2021 08:21 +10:00","PLX1888480040094030","On Delivery","BRISBANE","",""
"PLX188848","","393503651002086322, 393503651002086360, 393503651002086339, 393503651002086346, 393503651002086445,","15/11/2021 08:21 +10:00","PLX1888480060094030","On Delivery","BRISBANE","",""
"PLX188848","","393503651002086322, 393503651002086360, 393503651002086339, 393503651002086346, 393503651002086445,","15/11/2021 08:21 +10:00","PLX1888480090094030","On Delivery","BRISBANE","",""
"PLX188848","","393503651002086322, 393503651002086360, 393503651002086339, 393503651002086346, 393503651002086445,","15/11/2021 08:21 +10:00","PLX1888480050094030","On Delivery","BRISBANE","",""
"PLX188848","","393503651002086322, 393503651002086360, 393503651002086339, 393503651002086346, 393503651002086445,","15/11/2021 08:21 +10:00","PLX1888480080094030","On Delivery","BRISBANE","",""
"PLX188848","","393503651002086322, 393503651002086360, 393503651002086339, 393503651002086346, 393503651002086445,","15/11/2021 08:39 +10:00","PLX1888480010094030","On Delivery","BRISBANE","",""
"PLX188848","","393503651002086322, 393503651002086360, 393503651002086339, 393503651002086346, 393503651002086445,","15/11/2021 08:42 +10:00","PLX1888480070094030","On Delivery","BRISBANE","",""
"PLX188848","","393503651002086322, 393503651002086360, 393503651002086339, 393503651002086346, 393503651002086445,","15/11/2021 12:21 +10:00","PLX1888480010094030","On Delivery","BRISBANE","",""
