ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX188034","","89309","05/11/2021 19:24 +11:00","PLX1880340010012168","Depot In","SYDNEY","",""
"PLX188030","","89304","05/11/2021 19:25 +11:00","PLX1880300090093163","Depot In","SYDNEY","",""
"PLX188201","","89341","05/11/2021 19:25 +11:00","PLX1882010020062905","Depot In","SYDNEY","",""
"PLX188065","67485","89330","05/11/2021 19:25 +11:00","PLX1880650030094213","Depot In","SYDNEY","",""
"PLX188028","","89301","05/11/2021 19:26 +11:00","PLX1880280030033166","Depot In","SYDNEY","",""
"PLX188065","67485","89330","05/11/2021 19:25 +11:00","PLX1880650040094213","Depot In","SYDNEY","",""
"PLX188222","","89401","05/11/2021 19:26 +11:00","PLX1882220020066169","Depot In","SYDNEY","",""
"PLX188247","","89105","05/11/2021 19:26 +11:00","PLX1882470070072480","Depot In","SYDNEY","",""
"PLX188207","","89363","05/11/2021 19:26 +11:00","PLX1882070030033130","Depot In","SYDNEY","",""
"PLX188222","","89401","05/11/2021 19:26 +11:00","PLX1882220040066169","Depot In","SYDNEY","",""
"PLX188201","","89341","05/11/2021 19:26 +11:00","PLX1882010060062905","Depot In","SYDNEY","",""
"PLX188204","","89342","05/11/2021 19:27 +11:00","PLX1882040010012761","Depot In","SYDNEY","",""
"PLX188030","","89304","05/11/2021 19:25 +11:00","PLX1880300030093163","Depot In","SYDNEY","",""
"PLX188030","","89304","05/11/2021 19:26 +11:00","PLX1880300020093163","Depot In","SYDNEY","",""
"PLX188115","","89285","05/11/2021 19:25 +11:00","PLX1881150030034870","Depot In","SYDNEY","",""
"PLX188065","67485","89330","05/11/2021 19:25 +11:00","PLX1880650050094213","Depot In","SYDNEY","",""
"PLX019144","66792","89382","05/11/2021 19:26 +11:00","PLX0191440040044227","Depot In","SYDNEY","",""
