ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX018861","0721a3c3-b9c5-4e0f-b89e-837447421d9a","88095","12/10/2021 17:17 +11:00","PLX0188610010013056","Depot In","SYDNEY","",""
"PLX018795","9befd7d9-a611-4d6f-a010-de86c02bac84","88057","12/10/2021 17:17 +11:00","PLX0187950050062460","Depot In","SYDNEY","",""
"PLX018778","5f1e58f0-2359-4b1e-b00f-341b05e71653","88032","12/10/2021 17:18 +11:00","PLX0187780050063064","Depot In","SYDNEY","",""
"PLX018776","509b1a9d-652e-45ee-9c39-8245ff7d5247","88027","12/10/2021 17:18 +11:00","PLX0187760050062550","Depot In","SYDNEY","",""
"PLX018771","ff46c1cd-8933-4bf0-bc79-388f62e9cce9","88018","12/10/2021 17:18 +11:00","PLX0187710060064161","Depot In","SYDNEY","",""
"PLX018848","47665324-9885-4499-8a9c-37adb685868c","88186","12/10/2021 17:18 +11:00","PLX0188480060062350","Depot In","SYDNEY","",""
"PLX018786","7c871089-ac5f-4426-ae18-f5c7c1127f2c","88074","12/10/2021 17:18 +11:00","PLX0187860010024159","Depot In","SYDNEY","",""
"PLX018810","90a74a19-8e8a-4543-a5c7-732d53d6ae15","88087","12/10/2021 17:17 +11:00","PLX0188100010012620","Depot In","SYDNEY","",""
"PLX018769","cadcbfaa-1697-4b3b-9e79-e3663bcda49b","88011","12/10/2021 17:18 +11:00","PLX0187690060062176","Depot In","SYDNEY","",""
"PLX018769","cadcbfaa-1697-4b3b-9e79-e3663bcda49b","88011","12/10/2021 17:17 +11:00","PLX0187690050062176","Depot In","SYDNEY","",""
"PLX018776","509b1a9d-652e-45ee-9c39-8245ff7d5247","88027","12/10/2021 17:18 +11:00","PLX0187760060062550","Depot In","SYDNEY","",""
"PLX018795","9befd7d9-a611-4d6f-a010-de86c02bac84","88057","12/10/2021 17:18 +11:00","PLX0187950060062460","Depot In","SYDNEY","",""
"PLX018771","ff46c1cd-8933-4bf0-bc79-388f62e9cce9","88018","12/10/2021 17:18 +11:00","PLX0187710050064161","Depot In","SYDNEY","",""
"PLX018878","9a696e8c-4029-43b0-9010-1cc9df006bc2","87981","12/10/2021 17:18 +11:00","PLX0188780010065485","Depot In","SYDNEY","",""
"PLX018848","47665324-9885-4499-8a9c-37adb685868c","88186","12/10/2021 17:18 +11:00","PLX0188480050062350","Depot In","SYDNEY","",""
"PLX018812","bc09dc8f-d71a-48b4-b248-e33b486030c7","88089","12/10/2021 17:18 +11:00","PLX0188120010063950","Depot In","SYDNEY","",""
"PLX018857","da18f603-c7f0-49d0-b93c-530cb0149fc7","","12/10/2021 17:18 +11:00","PLX0188570050063862","Depot In","SYDNEY","",""
"PLX018848","47665324-9885-4499-8a9c-37adb685868c","88186","12/10/2021 17:18 +11:00","PLX0188480030062350","Depot In","SYDNEY","",""
"PLX018778","5f1e58f0-2359-4b1e-b00f-341b05e71653","88032","12/10/2021 17:19 +11:00","PLX0187780030063064","Depot In","SYDNEY","",""
"PLX018814","ac0e2392-61b4-4f89-8b3a-220fa3bc33bf","88091","12/10/2021 17:18 +11:00","PLX0188140030044285","Depot In","SYDNEY","",""
"PLX018848","47665324-9885-4499-8a9c-37adb685868c","88186","12/10/2021 17:19 +11:00","PLX0188480040062350","Depot In","SYDNEY","",""
"PLX018778","5f1e58f0-2359-4b1e-b00f-341b05e71653","88032","12/10/2021 17:19 +11:00","PLX0187780040063064","Depot In","SYDNEY","",""
"PLX018769","cadcbfaa-1697-4b3b-9e79-e3663bcda49b","88011","12/10/2021 17:19 +11:00","PLX0187690020062176","Depot In","SYDNEY","",""
"PLX018778","5f1e58f0-2359-4b1e-b00f-341b05e71653","88032","12/10/2021 17:18 +11:00","PLX0187780060063064","Depot In","SYDNEY","",""
"PLX018776","509b1a9d-652e-45ee-9c39-8245ff7d5247","88027","12/10/2021 17:18 +11:00","PLX0187760030062550","Depot In","SYDNEY","",""
"PLX018778","5f1e58f0-2359-4b1e-b00f-341b05e71653","88032","12/10/2021 17:19 +11:00","PLX0187780020063064","Depot In","SYDNEY","",""
