ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX019072","de02c837-ff3d-435b-9124-8074fc3b5e96","87176","21/10/2021 16:12 +11:00","PLX0190720030046155","Depot In","SYDNEY","",""
"PLX019071","1b65304b-1581-42d5-8307-7a4b38034d5e","87045","21/10/2021 16:12 +11:00","PLX0190710010045114","Depot In","SYDNEY","",""
"PLX019031","feea93b4-7e02-4081-a8d0-87548567edf0","88809","21/10/2021 16:12 +11:00","PLX0190310030047030","Depot In","SYDNEY","",""
"PLX019089","aa9273ff-78b7-41cc-afd0-4fb5bfdad0ef","88041","21/10/2021 16:12 +11:00","PLX0190890010023444","Depot In","SYDNEY","",""
"PLX019069","65c9c5e9-5768-4ecf-be6e-dda7d0204bb5","88080","21/10/2021 16:12 +11:00","PLX0190690020052147","Depot In","SYDNEY","",""
"PLX186609","","88921","21/10/2021 16:12 +11:00","PLX1866090030016109","Depot In","SYDNEY","",""
"PLX019072","de02c837-ff3d-435b-9124-8074fc3b5e96","87176","21/10/2021 16:12 +11:00","PLX0190720040046155","Depot In","SYDNEY","",""
"PLX019031","feea93b4-7e02-4081-a8d0-87548567edf0","88809","21/10/2021 16:12 +11:00","PLX0190310040047030","Depot In","SYDNEY","",""
"PLX019072","de02c837-ff3d-435b-9124-8074fc3b5e96","87176","21/10/2021 16:12 +11:00","PLX0190720010046155","Depot In","SYDNEY","",""
"PLX186616","","88770","21/10/2021 16:12 +11:00","PLX1866160010016154","Depot In","SYDNEY","",""
"PLX019069","65c9c5e9-5768-4ecf-be6e-dda7d0204bb5","88080","21/10/2021 16:13 +11:00","PLX0190690010052147","Depot In","SYDNEY","",""
"PLX186609","","88921","21/10/2021 16:12 +11:00","PLX1866090110016109","Depot In","SYDNEY","",""
"PLX019031","feea93b4-7e02-4081-a8d0-87548567edf0","88809","21/10/2021 16:13 +11:00","PLX0190310020047030","Depot In","SYDNEY","",""
"PLX186609","","88921","21/10/2021 16:12 +11:00","PLX1866090130016109","Depot In","SYDNEY","",""
"PLX019046","46536690-aeee-448b-a2c4-b920acf8931e","88181","21/10/2021 16:12 +11:00","PLX0190460020023192","Depot In","SYDNEY","",""
"PLX019071","1b65304b-1581-42d5-8307-7a4b38034d5e","87045","21/10/2021 16:12 +11:00","PLX0190710020045114","Depot In","SYDNEY","",""
"PLX186609","","88921","21/10/2021 16:12 +11:00","PLX1866090090016109","Depot In","SYDNEY","",""
"PLX019069","65c9c5e9-5768-4ecf-be6e-dda7d0204bb5","88080","21/10/2021 16:12 +11:00","PLX0190690040052147","Depot In","SYDNEY","",""
"PLX019031","feea93b4-7e02-4081-a8d0-87548567edf0","88809","21/10/2021 16:12 +11:00","PLX0190310010047030","Depot In","SYDNEY","",""
"PLX019071","1b65304b-1581-42d5-8307-7a4b38034d5e","87045","21/10/2021 16:12 +11:00","PLX0190710040045114","Depot In","SYDNEY","",""
"PLX186609","","88921","21/10/2021 16:13 +11:00","PLX1866090050016109","Depot In","SYDNEY","",""
"PLX019046","46536690-aeee-448b-a2c4-b920acf8931e","88181","21/10/2021 16:14 +11:00","PLX0190460010023192","Depot In","SYDNEY","",""
"PLX019069","65c9c5e9-5768-4ecf-be6e-dda7d0204bb5","88080","21/10/2021 16:14 +11:00","PLX0190690030052147","Depot In","SYDNEY","",""
"PLX019072","de02c837-ff3d-435b-9124-8074fc3b5e96","87176","21/10/2021 16:14 +11:00","PLX0190720020046155","Depot In","SYDNEY","",""
"PLX186609","","88921","21/10/2021 16:14 +11:00","PLX1866090010016109","Depot In","SYDNEY","",""
"PLX019071","1b65304b-1581-42d5-8307-7a4b38034d5e","87045","21/10/2021 16:14 +11:00","PLX0190710030045114","Depot In","SYDNEY","",""
"PLX186609","","88921","21/10/2021 16:14 +11:00","PLX1866090070016109","Depot In","SYDNEY","",""
