ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX189056","","89617","16/11/2021 10:30 +11:00","PLX1890560040042327","On Delivery","SYDNEY","",""
"PLX189056","","89617","16/11/2021 10:44 +11:00","PLX1890560010042327","On Delivery","SYDNEY","",""
"DME188912","","PC171780","16/11/2021 11:01 +11:00","DME1889120010013172","On Delivery","MELBOURNE","",""
"PLX188197","","89351","16/11/2021 11:03 +11:00","PLX1881970020023196","On Delivery","MELBOURNE","",""
"PLX188197","","89351","16/11/2021 11:04 +11:00","PLX1881970010023196","On Delivery","MELBOURNE","",""
"PLX189023","","393503651002100042, 393503651002100011, 393503651002100035, 393503651002100004, 393503651002100028,","16/11/2021 11:06 +11:00","PLX1890230060085170","Depot In","ADELAIDE","",""
"PLX189236","","393277552007026277, 393277552007026260","16/11/2021 11:06 +11:00","PLX1892360020025117","Depot In","ADELAIDE","",""
"PLX189028","","89589","16/11/2021 11:06 +11:00","PLX1890280010015244","Depot In","ADELAIDE","",""
"PLX189241","","393255522002539490, 393255522002539506","16/11/2021 11:06 +11:00","PLX1892410020025107","Depot In","ADELAIDE","",""
"PLX189241","","393255522002539490, 393255522002539506","16/11/2021 11:06 +11:00","PLX1892410010025107","Depot In","ADELAIDE","",""
"PLX189236","","393277552007026277, 393277552007026260","16/11/2021 11:06 +11:00","PLX1892360010025117","Depot In","ADELAIDE","",""
