ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX019109","581d40a9-0347-4cce-bbf8-cfe19439f387","88899","28/10/2021 08:03 +11:00","PLX0191090020023352","On Delivery","BALLARAT","",""
"PLX019109","581d40a9-0347-4cce-bbf8-cfe19439f387","88899","28/10/2021 08:03 +11:00","PLX0191090010023352","On Delivery","BALLARAT","",""
"PLX019109","581d40a9-0347-4cce-bbf8-cfe19439f387","88899","28/10/2021 08:03 +11:00","PLX0191090020023352","Floor","BALLARAT","",""
"PLX019109","581d40a9-0347-4cce-bbf8-cfe19439f387","88899","28/10/2021 08:03 +11:00","PLX0191090010023352","Floor","BALLARAT","",""
