ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX018856","c6f2e7b7-fe9e-4ddd-813f-a41bc1972bb0","87976","14/10/2021 16:59 +11:00","PLX0188560010032566","Depot In","SYDNEY","",""
"PLX018895","49d0deb3-e9f4-4686-98bd-e4692c2e23ae","88222","14/10/2021 16:59 +11:00","PLX0188950010063764","Depot In","SYDNEY","",""
"PLX018895","49d0deb3-e9f4-4686-98bd-e4692c2e23ae","88222","14/10/2021 16:59 +11:00","PLX0188950060063764","Depot In","SYDNEY","",""
"PLX018921","34cb1b43-c971-42a0-b1ca-30fb2835681a","88265","14/10/2021 16:59 +11:00","PLX0189210050063023","Depot In","SYDNEY","",""
"PLX018892","56b1d9c0-5cb0-4eb2-9ef9-23394b5b0ea8","88230","14/10/2021 16:59 +11:00","PLX0188920060062756","Depot In","SYDNEY","",""
"PLX018894","6e3915d3-8173-4c8f-bbfc-179212f52b64","88232","14/10/2021 16:59 +11:00","PLX0188940020063175","Depot In","SYDNEY","",""
"PLX018856","c6f2e7b7-fe9e-4ddd-813f-a41bc1972bb0","87976","14/10/2021 16:58 +11:00","PLX0188560030032566","Depot In","SYDNEY","",""
"PLX018894","6e3915d3-8173-4c8f-bbfc-179212f52b64","88232","14/10/2021 16:58 +11:00","PLX0188940050063175","Depot In","SYDNEY","",""
"PLX018885","ce5c1e9d-a2f5-4031-b5c3-4a1bfaf359cf","88136","14/10/2021 16:54 +11:00","PLX0188850010023634","Depot In","SYDNEY","",""
"PLX018892","56b1d9c0-5cb0-4eb2-9ef9-23394b5b0ea8","88230","14/10/2021 16:58 +11:00","PLX0188920010062756","Depot In","SYDNEY","",""
"PLX018921","34cb1b43-c971-42a0-b1ca-30fb2835681a","88265","14/10/2021 16:58 +11:00","PLX0189210040063023","Depot In","SYDNEY","",""
"PLX018892","56b1d9c0-5cb0-4eb2-9ef9-23394b5b0ea8","88230","14/10/2021 16:58 +11:00","PLX0188920040062756","Depot In","SYDNEY","",""
"PLX018895","49d0deb3-e9f4-4686-98bd-e4692c2e23ae","88222","14/10/2021 16:59 +11:00","PLX0188950040063764","Depot In","SYDNEY","",""
"PLX018807","4bd24dbd-9be7-4ccb-8328-f8bd9d287ae3","","14/10/2021 16:59 +11:00","PLX0188070010022571","Depot In","SYDNEY","",""
"PLX018892","56b1d9c0-5cb0-4eb2-9ef9-23394b5b0ea8","88230","14/10/2021 16:59 +11:00","PLX0188920050062756","Depot In","SYDNEY","",""
"PLX018906","2f3c5a3b-f09c-439b-b0d9-c19c06d16f69","88246","14/10/2021 16:54 +11:00","PLX0189060010023910","Depot In","SYDNEY","",""
"PLX018887","f5013277-d795-4a2b-a794-ad7bc4f21202","88220","14/10/2021 16:54 +11:00","PLX0188870020022630","Depot In","SYDNEY","",""
"PLX018898","dc70550b-a9c2-4a6c-a3bc-dfc6c0986900","88235","14/10/2021 16:54 +11:00","PLX0188980010023551","Depot In","SYDNEY","",""
"PLX018898","dc70550b-a9c2-4a6c-a3bc-dfc6c0986900","88235","14/10/2021 16:54 +11:00","PLX0188980020023551","Depot In","SYDNEY","",""
"PLX018899","797888b6-dd4d-47aa-9847-08511600ab66","88236","14/10/2021 16:54 +11:00","PLX0188990010023444","Depot In","SYDNEY","",""
"PLX018887","f5013277-d795-4a2b-a794-ad7bc4f21202","88220","14/10/2021 16:54 +11:00","PLX0188870010022630","Depot In","SYDNEY","",""
"PLX018923","5fce19ce-34fa-484d-ac62-dbd425a0af1e","88269","14/10/2021 16:54 +11:00","PLX0189230010022161","Depot In","SYDNEY","",""
"PLX018899","797888b6-dd4d-47aa-9847-08511600ab66","88236","14/10/2021 16:54 +11:00","PLX0188990020023444","Depot In","SYDNEY","",""
"PLX018920","51d20c6c-a508-4a69-8b38-c9dd849946bc","88264","14/10/2021 16:54 +11:00","PLX0189200010025095","Depot In","SYDNEY","",""
"PLX018885","ce5c1e9d-a2f5-4031-b5c3-4a1bfaf359cf","88136","14/10/2021 16:54 +11:00","PLX0188850020023634","Depot In","SYDNEY","",""
"PLX018906","2f3c5a3b-f09c-439b-b0d9-c19c06d16f69","88246","14/10/2021 16:54 +11:00","PLX0189060020023910","Depot In","SYDNEY","",""
"PLX018920","51d20c6c-a508-4a69-8b38-c9dd849946bc","88264","14/10/2021 16:54 +11:00","PLX0189200020025095","Depot In","SYDNEY","",""
"PLX018881","955098ba-a27b-44a1-a400-bf51bb893e7a","88288","14/10/2021 16:54 +11:00","PLX0188810010012337","Depot In","SYDNEY","",""
"PLX018923","5fce19ce-34fa-484d-ac62-dbd425a0af1e","88269","14/10/2021 16:54 +11:00","PLX0189230020022161","Depot In","SYDNEY","",""
