ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX187330","","89066","01/11/2021 18:14 +11:00","PLX1873300020025290","Depot In","SYDNEY","",""
"PLX187840","","89265","01/11/2021 18:10 +11:00","PLX1878400030063941","Depot In","SYDNEY","",""
"PLX187625","","89235","01/11/2021 18:12 +11:00","PLX1876250050084405","Depot In","SYDNEY","",""
"PLX187829","","89275","01/11/2021 18:14 +11:00","PLX1878290020025047","Depot In","SYDNEY","",""
"PLX187694","","89182","01/11/2021 18:13 +11:00","PLX1876940020023690","Depot In","SYDNEY","",""
"PLX187641","","89231","01/11/2021 18:13 +11:00","PLX1876410030073156","Depot In","SYDNEY","",""
"PLX187644","","89233","01/11/2021 18:12 +11:00","PLX1876440010024214","Depot In","SYDNEY","",""
"PLX187310","","89040","01/11/2021 18:10 +11:00","PLX1873100040043153","Depot In","SYDNEY","",""
"PLX187833","","89279","01/11/2021 18:13 +11:00","PLX1878330020022168","Depot In","SYDNEY","",""
"PLX187840","","89265","01/11/2021 18:10 +11:00","PLX1878400040063941","Depot In","SYDNEY","",""
"PLX187642","","89232","01/11/2021 18:13 +11:00","PLX1876420050065042","Depot In","SYDNEY","",""
"PLX187642","","89232","01/11/2021 18:12 +11:00","PLX1876420040065042","Depot In","SYDNEY","",""
"PLX187840","","89265","01/11/2021 18:10 +11:00","PLX1878400050063941","Depot In","SYDNEY","",""
"PLX187691","","89179","01/11/2021 18:14 +11:00","PLX1876910010025049","Depot In","SYDNEY","",""
"PLX187832","","89278","01/11/2021 18:14 +11:00","PLX1878320020022711","Depot In","SYDNEY","",""
"PLX187840","","89265","01/11/2021 18:10 +11:00","PLX1878400010063941","Depot In","SYDNEY","",""
