ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX019157","a5bb29d9-4532-417a-8201-be869664b757","88958","16/11/2021 07:59 +11:00","PLX0191570060092484","On Delivery","Murwillumbah - NCFS","",""
"PLX019157","a5bb29d9-4532-417a-8201-be869664b757","88958","16/11/2021 07:59 +11:00","PLX0191570040092484","On Delivery","Murwillumbah - NCFS","",""
"PLX019157","a5bb29d9-4532-417a-8201-be869664b757","88958","16/11/2021 08:00 +11:00","PLX0191570090092484","On Delivery","Murwillumbah - NCFS","",""
"PLX019157","a5bb29d9-4532-417a-8201-be869664b757","88958","16/11/2021 08:00 +11:00","PLX0191570080092484","On Delivery","Murwillumbah - NCFS","",""
"PLX019157","a5bb29d9-4532-417a-8201-be869664b757","88958","16/11/2021 08:00 +11:00","PLX0191570050092484","On Delivery","Murwillumbah - NCFS","",""
"PLX019157","a5bb29d9-4532-417a-8201-be869664b757","88958","16/11/2021 08:00 +11:00","PLX0191570030092484","On Delivery","Murwillumbah - NCFS","",""
"PLX019157","a5bb29d9-4532-417a-8201-be869664b757","88958","16/11/2021 08:00 +11:00","PLX0191570010092484","On Delivery","Murwillumbah - NCFS","",""
"PLX019157","a5bb29d9-4532-417a-8201-be869664b757","88958","16/11/2021 08:00 +11:00","PLX0191570020092484","On Delivery","Murwillumbah - NCFS","",""
