ConsignmentNumber,UniqueId,SenderReference,StatusDateTime,Status,StatusTag
"PLX189862","","393503651002106587","17/11/2021 19:02 +11:00","InDepot",""
"PLX189906","","393503651002110744, 393503651002110805, 393503651002110775, 393503651002110768, 393503651002110751,","17/11/2021 19:04 +11:00","InDepot",""
"PLX189874","","393503651002106600","17/11/2021 19:03 +11:00","InDepot",""
"PLX019179","5b47703d-ed2c-483c-be29-fb68eaca040c","87784","17/11/2021 19:03 +11:00","InDepot",""
"PLX189880","","393503651002106655","17/11/2021 19:03 +11:00","InDepot",""
"PLX189796","","393503651002110980, 393503651002110966, 393503651002110973","17/11/2021 19:04 +11:00","InDepot",""
"PLX189876","","393503651002106624","17/11/2021 19:03 +11:00","InDepot",""
"PLX189623","","393503651002110508","17/11/2021 19:02 +11:00","InDepot",""
"PLX188469","","89425","17/11/2021 19:02 +11:00","InDepot",""
"PLX189879","","393503651002106648","17/11/2021 19:03 +11:00","InDepot",""
"PLX189875","","393503651002106617","17/11/2021 19:03 +11:00","InDepot",""
"PLX189877","","393503651002106631","17/11/2021 19:03 +11:00","InDepot",""
