ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX188498","","89375","09/11/2021 19:25 +11:00","PLX1884980050082774","Depot In","SYDNEY","",""
"PLX188498","","89375","09/11/2021 19:26 +11:00","PLX1884980030082774","Depot In","SYDNEY","",""
"PLX188497","","89374","09/11/2021 19:26 +11:00","PLX1884970020023222","Depot In","SYDNEY","",""
"PLX188498","","89375","09/11/2021 19:26 +11:00","PLX1884980060082774","Depot In","SYDNEY","",""
"PLX019147","8cb2afbf-22ec-4713-9b10-c61e0830236e","89405","09/11/2021 19:27 +11:00","PLX0191470060063095","Depot In","SYDNEY","",""
"PLX188498","","89375","09/11/2021 19:26 +11:00","PLX1884980040082774","Depot In","SYDNEY","",""
"PLX188490","","87533","09/11/2021 19:26 +11:00","PLX1884900020026000","Depot In","SYDNEY","",""
"PLX188462","","89421","09/11/2021 19:28 +11:00","PLX1884620060062577","Depot In","SYDNEY","",""
"PLX188464","","89422","09/11/2021 19:28 +11:00","PLX1884640030032232","Depot In","SYDNEY","",""
"PLX019158","6278e750-50e1-4ea7-b263-0c8ac0b74e16","89171","09/11/2021 19:29 +11:00","PLX0191580040043037","Depot In","SYDNEY","",""
