ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"DME185173","","8037178, 8037179, 8037197","03/11/2021 09:26 +11:00","DME1851730030032170","On Delivery","SYDNEY","",""
"DME187496","","CS00486693","03/11/2021 10:08 +11:00","DME1874960010013803","At Location","MELBOURNE","",""
"DME185822","","22409","03/11/2021 07:54 +11:00","DME1858220010013023","On Delivery","MELBOURNE","",""
"PLX019113","7f8fc880-9440-49a9-a79e-c01131eaefdd","88858","03/11/2021 09:49 +11:00","PLX0191130070073023","On Delivery","MELBOURNE","",""
"PLX019113","7f8fc880-9440-49a9-a79e-c01131eaefdd","88858","03/11/2021 09:50 +11:00","PLX0191130030073023","On Delivery","MELBOURNE","",""
"PLX019113","7f8fc880-9440-49a9-a79e-c01131eaefdd","88858","03/11/2021 09:50 +11:00","PLX0191130060073023","On Delivery","MELBOURNE","",""
"PLX187625","","89235","03/11/2021 10:08 +10:00","PLX1876250030084405","Reserved 6","BRISBANE","",""
"PLX187625","","89235","03/11/2021 10:09 +10:00","PLX1876250070084405","Reserved 6","BRISBANE","",""
"PLX187715","","89227","03/11/2021 10:05 +10:00","PLX1877150030044744","On Delivery","Moranbah","",""
"PLX187625","","89235","03/11/2021 10:10 +10:00","PLX1876250050084405","Reserved 6","BRISBANE","",""
"PLX186952","","88957","03/11/2021 10:12 +10:00","PLX1869520010084405","Reserved 6","BRISBANE","",""
"PLX186952","","88957","03/11/2021 10:13 +10:00","PLX1869520030084405","Reserved 6","BRISBANE","",""
"PLX187625","","89235","03/11/2021 10:13 +10:00","PLX1876250010084405","Reserved 6","BRISBANE","",""
"PLX187625","","89235","03/11/2021 10:14 +10:00","PLX1876250080084405","Reserved 6","BRISBANE","",""
"PLX187625","","89235","03/11/2021 10:14 +10:00","PLX1876250040084405","Reserved 6","BRISBANE","",""
"DME187417","","22560","03/11/2021 09:36 +11:00","DME1874170020023028","On Delivery","MELBOURNE","",""
"DME187417","","22560","03/11/2021 09:36 +11:00","DME1874170010023028","On Delivery","MELBOURNE","",""
"PLX187291","","89141","03/11/2021 09:55 +11:00","PLX1872910040043016","On Delivery","MELBOURNE","",""
"PLX187291","","89141","03/11/2021 09:56 +11:00","PLX1872910030043016","On Delivery","MELBOURNE","",""
"PLX187291","","89141","03/11/2021 10:00 +11:00","PLX1872910010043016","On Delivery","MELBOURNE","",""
"PLX186952","","88957","03/11/2021 10:15 +10:00","PLX1869520040084405","Reserved 6","BRISBANE","",""
"PLX187625","","89235","03/11/2021 10:15 +10:00","PLX1876250060084405","Reserved 6","BRISBANE","",""
"DME186932","","4049985","03/11/2021 09:38 +11:00","DME1869320010013803","On Delivery","MELBOURNE","",""
"DME186869","65771","CS00487661","03/11/2021 09:38 +11:00","DME1868690010013803","On Delivery","MELBOURNE","",""
"DME187157","","CS00488517","03/11/2021 09:39 +11:00","DME1871570010013803","On Delivery","MELBOURNE","",""
"PLX186952","","88957","03/11/2021 10:16 +10:00","PLX1869520020084405","Reserved 6","BRISBANE","",""
"PLX186952","","88957","03/11/2021 10:16 +10:00","PLX1869520070084405","Reserved 6","BRISBANE","",""
"PLX186952","","88957","03/11/2021 10:16 +10:00","PLX1869520080084405","Reserved 6","BRISBANE","",""
"PLX186952","","88957","03/11/2021 10:16 +10:00","PLX1869520050084405","Reserved 6","BRISBANE","",""
"PLX187625","","89235","03/11/2021 10:17 +10:00","PLX1876250020084405","Reserved 6","BRISBANE","",""
