ConsignmentNumber,UniqueId,SenderReference,StatusDateTime,Status,StatusTag
"PLX189907","","393503651002110423, 393503651002110188, 393503651002110416","17/11/2021 18:03 +11:00","InDepot",""
"PLX189640","","393503651002106716, 393503651002106723","17/11/2021 18:03 +11:00","InDepot",""
"PLX189832","","393503651002102183, 393503651002102176, 393503651002102190, 393503651002102206","17/11/2021 18:03 +11:00","InDepot",""
"PLX189791","","393503651002102114, 393503651002102107","17/11/2021 18:04 +11:00","InDepot",""
"PLX189863","","393503651002102251","17/11/2021 18:03 +11:00","InDepot",""
"PLX189821","","393503651002102121","17/11/2021 18:04 +11:00","InDepot",""
"PLX189829","","393503651002102145","17/11/2021 18:04 +11:00","InDepot",""
"PLX189873","","393503651002106594","17/11/2021 18:04 +11:00","InDepot",""
"PLX189868","","393503651002106556","17/11/2021 18:04 +11:00","InDepot",""
"PLX189839","","393503651002102237","17/11/2021 18:04 +11:00","InDepot",""
"PLX189871","","393503651002106679, 393503651002106686","17/11/2021 18:04 +11:00","InDepot",""
"PLX189865","","393503651002102268","17/11/2021 18:04 +11:00","InDepot",""
