ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX186958","","88946","28/10/2021 16:28 +11:00","PLX1869580060076163","Depot In","SYDNEY","",""
"PLX186959","","88200","28/10/2021 16:29 +11:00","PLX1869590010073616","Depot In","SYDNEY","",""
"PLX187314","","89045","28/10/2021 16:32 +11:00","PLX1873140040062323","Depot In","SYDNEY","",""
"PLX187314","","89045","28/10/2021 16:32 +11:00","PLX1873140050062323","Depot In","SYDNEY","",""
"PLX187314","","89045","28/10/2021 16:32 +11:00","PLX1873140060062323","Depot In","SYDNEY","",""
"PLX186920","","88967","28/10/2021 16:32 +11:00","PLX1869200060062168","Depot In","SYDNEY","",""
"PLX186920","","88967","28/10/2021 16:32 +11:00","PLX1869200010062168","Depot In","SYDNEY","",""
"PLX187339","","89050","28/10/2021 16:31 +11:00","PLX1873390020023630","Depot In","SYDNEY","",""
"PLX186920","","88967","28/10/2021 16:32 +11:00","PLX1869200050062168","Depot In","SYDNEY","",""
"PLX186920","","88967","28/10/2021 16:33 +11:00","PLX1869200030062168","Depot In","SYDNEY","",""
