ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX019181","24534c3e-00d4-443e-9c31-5c486fb3d0cb","87779","15/11/2021 19:36 +11:00","PLX0191810020033160","Depot In","SYDNEY","",""
"PLX189452","","393503651002102374, 393503651002102381","15/11/2021 19:37 +11:00","PLX1894520010022046","Depot In","SYDNEY","",""
"PLX189229","","393503651002084656, 393503651002084649, 393503651002084632","15/11/2021 19:35 +11:00","PLX1892290010032337","Depot In","SYDNEY","",""
"PLX189251","","393503651002100738, 393503651002100721, 393503651002100769, 393503651002100776, 393503651002100745,","15/11/2021 19:37 +11:00","PLX1892510050083324","Depot In","SYDNEY","",""
"PLX189506","","393503651002102336, 393503651002102343","15/11/2021 19:37 +11:00","PLX1895060020024510","Depot In","SYDNEY","",""
"PLX189245","","393503651002102442, 393503651002102466, 393503651002102459, 393503651002096086","15/11/2021 19:38 +11:00","PLX1892450030046056","Depot In","SYDNEY","",""
"PLX189026","","393503651002102398","15/11/2021 19:38 +11:00","PLX1890260010012774","Depot In","SYDNEY","",""
"PLX189233","","393503651002099575, 393503651002099582","15/11/2021 19:36 +11:00","PLX1892330020022250","Depot In","SYDNEY","",""
"PLX189251","","393503651002100738, 393503651002100721, 393503651002100769, 393503651002100776, 393503651002100745,","15/11/2021 19:36 +11:00","PLX1892510030083324","Depot In","SYDNEY","",""
"PLX189229","","393503651002084656, 393503651002084649, 393503651002084632","15/11/2021 19:36 +11:00","PLX1892290020032337","Depot In","SYDNEY","",""
"PLX019175","e55d1d13-69fa-45bf-8bd1-91c60a0d9b4f","89716","15/11/2021 19:35 +11:00","PLX0191750010023555","Depot In","SYDNEY","",""
"PLX189514","","393503651002102312, 393503651002102329","15/11/2021 19:38 +11:00","PLX1895140020023978","Depot In","SYDNEY","",""
"PLX189452","","393503651002102374, 393503651002102381","15/11/2021 19:38 +11:00","PLX1894520020022046","Depot In","SYDNEY","",""
"PLX189251","","393503651002100738, 393503651002100721, 393503651002100769, 393503651002100776, 393503651002100745,","15/11/2021 19:36 +11:00","PLX1892510060083324","Depot In","SYDNEY","",""
"PLX189248","","393503651002099599","15/11/2021 19:35 +11:00","PLX1892480010016034","Depot In","SYDNEY","",""
"PLX189458","","393503651002102350, 393503651002102367","15/11/2021 19:37 +11:00","PLX1894580010022251","Depot In","SYDNEY","",""
"PLX189509","","393503651002107362, 393503651002107355, 393503651002107348, 393503651002107331","15/11/2021 19:38 +11:00","PLX1895090020043201","Depot In","SYDNEY","",""
"PLX189509","","393503651002107362, 393503651002107355, 393503651002107348, 393503651002107331","15/11/2021 19:37 +11:00","PLX1895090010043201","Depot In","SYDNEY","",""
"PLX019187","1fdf4e83-ac74-4c8b-8648-30f502be2a75","REPLACEMENT:89820","15/11/2021 19:39 +11:00","PLX0191870010012747","Depot In","SYDNEY","",""
"PLX189078","","393503651002100455, 393503651002100462, 393503651002100448, 393503651002100431, 393503651002100424","15/11/2021 19:35 +11:00","PLX1890780050054551","Depot In","SYDNEY","",""
"PLX189251","","393503651002100738, 393503651002100721, 393503651002100769, 393503651002100776, 393503651002100745,","15/11/2021 19:36 +11:00","PLX1892510040083324","Depot In","SYDNEY","",""
"PLX189242","","393503651002096116, 393503651002096109, 393503651002096093, 393503651002096123","15/11/2021 19:37 +11:00","PLX1892420030043335","Depot In","SYDNEY","",""
"PLX189078","","393503651002100455, 393503651002100462, 393503651002100448, 393503651002100431, 393503651002100424","15/11/2021 19:35 +11:00","PLX1890780040054551","Depot In","SYDNEY","",""
"PLX189252","","393503651002100387, 393503651002100356, 393503651002100370, 393503651002100363, 393503651002100400,","15/11/2021 19:36 +11:00","PLX1892520070093564","Depot In","SYDNEY","",""
"PLX189514","","393503651002102312, 393503651002102329","15/11/2021 19:37 +11:00","PLX1895140010023978","Depot In","SYDNEY","",""
"PLX189506","","393503651002102336, 393503651002102343","15/11/2021 19:37 +11:00","PLX1895060010024510","Depot In","SYDNEY","",""
"PLX189251","","393503651002100738, 393503651002100721, 393503651002100769, 393503651002100776, 393503651002100745,","15/11/2021 19:35 +11:00","PLX1892510070083324","Depot In","SYDNEY","",""
"PLX189458","","393503651002102350, 393503651002102367","15/11/2021 19:37 +11:00","PLX1894580020022251","Depot In","SYDNEY","",""
"PLX189243","","393503651002102404","15/11/2021 19:38 +11:00","PLX1892430010013690","Depot In","SYDNEY","",""
"PLX019186","6addb863-cfca-4d49-825a-c2e7a9df2fa4","89214","15/11/2021 19:39 +11:00","PLX0191860010012480","Depot In","SYDNEY","",""
"PLX189508","","393503651002101445","15/11/2021 19:39 +11:00","PLX1895080010012154","Depot In","SYDNEY","",""
"PLX189252","","393503651002100387, 393503651002100356, 393503651002100370, 393503651002100363, 393503651002100400,","15/11/2021 19:36 +11:00","PLX1892520050093564","Depot In","SYDNEY","",""
"PLX189078","","393503651002100455, 393503651002100462, 393503651002100448, 393503651002100431, 393503651002100424","15/11/2021 19:36 +11:00","PLX1890780020054551","Depot In","SYDNEY","",""
"PLX189251","","393503651002100738, 393503651002100721, 393503651002100769, 393503651002100776, 393503651002100745,","15/11/2021 19:36 +11:00","PLX1892510010083324","Depot In","SYDNEY","",""
