ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"DME186360","","296290","28/10/2021 09:51 +08:00","DME1863600010016110","On Delivery","PERTH","",""
"PLX019072","de02c837-ff3d-435b-9124-8074fc3b5e96","87176","28/10/2021 09:55 +08:00","PLX0190720020046155","On Delivery","PERTH","",""
"PLX019072","de02c837-ff3d-435b-9124-8074fc3b5e96","87176","28/10/2021 09:55 +08:00","PLX0190720040046155","On Delivery","PERTH","",""
"PLX019072","de02c837-ff3d-435b-9124-8074fc3b5e96","87176","28/10/2021 09:55 +08:00","PLX0190720030046155","On Delivery","PERTH","",""
"PLX019072","de02c837-ff3d-435b-9124-8074fc3b5e96","87176","28/10/2021 09:55 +08:00","PLX0190720010046155","On Delivery","PERTH","",""
"PLX186609","","88921","28/10/2021 09:57 +08:00","PLX1866090130016109","On Delivery","PERTH","",""
"PLX186609","","88921","28/10/2021 09:57 +08:00","PLX1866090090016109","On Delivery","PERTH","",""
"PLX186609","","88921","28/10/2021 09:57 +08:00","PLX1866090110016109","On Delivery","PERTH","",""
"PLX186609","","88921","28/10/2021 09:57 +08:00","PLX1866090050016109","On Delivery","PERTH","",""
"PLX186609","","88921","28/10/2021 09:57 +08:00","PLX1866090010016109","On Delivery","PERTH","",""
"PLX186609","","88921","28/10/2021 09:57 +08:00","PLX1866090070016109","On Delivery","PERTH","",""
