ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX018718","69a681a0-fe17-43b2-991f-b0dc775c3b1c","87921","06/10/2021 16:00 +11:00","PLX0187180060073064","Linehaul Out","SYDNEY","",""
"PLX018718","69a681a0-fe17-43b2-991f-b0dc775c3b1c","87921","06/10/2021 16:00 +11:00","PLX0187180030073064","Linehaul Out","SYDNEY","",""
"PLX018725","cc4629be-f3fd-44dc-a8b5-ab39549b885f","87935","06/10/2021 16:00 +11:00","PLX0187250010042283","Linehaul Out","SYDNEY","",""
"PLX018711","46fa3caa-1bae-4057-b688-2d473b149912","","06/10/2021 16:00 +11:00","PLX0187110020022528","Linehaul Out","SYDNEY","",""
"PLX018718","69a681a0-fe17-43b2-991f-b0dc775c3b1c","87921","06/10/2021 16:00 +11:00","PLX0187180070073064","Linehaul Out","SYDNEY","",""
"PLX018741","1ede69d0-dc0b-45d6-abea-a562663401f2","87873","06/10/2021 15:59 +11:00","PLX0187410020022913","Linehaul Out","SYDNEY","",""
"PLX018718","69a681a0-fe17-43b2-991f-b0dc775c3b1c","87921","06/10/2021 16:01 +11:00","PLX0187180040073064","Linehaul Out","SYDNEY","",""
"PLX018718","69a681a0-fe17-43b2-991f-b0dc775c3b1c","87921","06/10/2021 16:01 +11:00","PLX0187180050073064","Linehaul Out","SYDNEY","",""
"PLX018737","67e72d08-a0f8-4966-8b09-f01845c1dc41","87943","06/10/2021 16:01 +11:00","PLX0187370010042259","Linehaul Out","SYDNEY","",""
"PLX018737","67e72d08-a0f8-4966-8b09-f01845c1dc41","87943","06/10/2021 16:01 +11:00","PLX0187370030042259","Linehaul Out","SYDNEY","",""
