ConsignmentNumber,UniqueId,SenderReference,StatusDateTime,Status,StatusTag
"PLX189791","","393503651002102114, 393503651002102107","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX189839","","393503651002102237","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX189853","","393503651002102244","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX189865","","393503651002102268","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX189868","","393503651002106556","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX189881","","393503651002106662","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX189640","","393503651002106716, 393503651002106723","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX019202","cbdaeae6-7523-43d0-8c95-361117fe806f","89757","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX189836","","393503651002110614, 393503651002110621, 393503651002110645, 393503651002110652, 393503651002110669,","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX189623","","393503651002110508","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX189818","","393503651002110355, 393503651002110362, 393503651002110379, 393503651002110409, 393503651002110393,","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX189907","","393503651002110423, 393503651002110188, 393503651002110416","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX189817","","393503651002110522, 393503651002110584, 393503651002110560, 393503651002110607, 393503651002110553,","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX189510","","393503651002110454, 393503651002110478, 393503651002110492, 393503651002106532, 393503651002110461,","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX190066","","393503651002110331","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX189904","","393503651002110300, 393503651002110324, 393503651002110317, 393503651002110171","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX189488","","393503651002096147, 393503651002096130","17/11/2021 08:26 +11:00","Assigned",""
"DMB014885","57c77556-dbbd-4c36-89f7-522b4617ee32","CS00493003","17/11/2021 08:26 +11:00","Assigned",""
"PLX189213","","393503651002110690, 393503651002110737, 393503651002110706, 393503651002110713, 393503651002110720","17/11/2021 08:26 +11:00","PickupReceived",""
"PLX189213","","393503651002110690, 393503651002110737, 393503651002110706, 393503651002110713, 393503651002110720","17/11/2021 08:26 +11:00","Assigned",""
