ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX189787","","393503651002109977, 393503651002109960, 393503651002114360, 393503651002114353","17/11/2021 19:31 +11:00","PLX1897870020042530","Depot In","SYDNEY","",""
"PLX189838","","393503651002113936, 393503651002114261, 393503651002114223, 393503651002113400, 393503651002114254,","17/11/2021 19:31 +11:00","PLX1898380040072564","Depot In","SYDNEY","",""
"PLX189932","","393255522002539599","17/11/2021 19:32 +11:00","PLX1899320010013630","Depot In","SYDNEY","",""
"PLX189805","","393503651002110003, 393503651002110010","17/11/2021 19:32 +11:00","PLX1898050020022480","Depot In","SYDNEY","",""
"PLX189213","","393503651002110690, 393503651002110737, 393503651002110706, 393503651002110713, 393503651002110720","17/11/2021 19:33 +11:00","PLX1892130030085372","Depot In","SYDNEY","",""
"PLX189811","","393503651002114315, 393503651002114308, 393503651002114322, 393503651002113967","17/11/2021 19:32 +11:00","PLX1898110010042220","Depot In","SYDNEY","",""
"PLX189811","","393503651002114315, 393503651002114308, 393503651002114322, 393503651002113967","17/11/2021 19:32 +11:00","PLX1898110020042220","Depot In","SYDNEY","",""
"PLX189787","","393503651002109977, 393503651002109960, 393503651002114360, 393503651002114353","17/11/2021 19:31 +11:00","PLX1897870030042530","Depot In","SYDNEY","",""
"PLX190065","","393503651002111130","17/11/2021 19:31 +11:00","PLX1900650010012303","Depot In","SYDNEY","",""
"PLX189838","","393503651002113936, 393503651002114261, 393503651002114223, 393503651002113400, 393503651002114254,","17/11/2021 19:31 +11:00","PLX1898380020072564","Depot In","SYDNEY","",""
"PLX189906","","393503651002110744, 393503651002110805, 393503651002110775, 393503651002110768, 393503651002110751,","17/11/2021 19:33 +11:00","PLX1899060020072671","Depot In","SYDNEY","",""
"PLX189978","","393255522002539582","17/11/2021 19:32 +11:00","PLX1899780010012745","Depot In","SYDNEY","",""
"PLX019203","3a02cf69-1f79-4015-883c-58e8c1411b01","89885","17/11/2021 19:31 +11:00","PLX0192030020025162","Depot In","SYDNEY","",""
"PLX190245","","393503651002113929, 393503651002114278","17/11/2021 19:31 +11:00","PLX1902450010024575","Depot In","SYDNEY","",""
"PLX189834","","393503651002114209, 393503651002114216","17/11/2021 19:31 +11:00","PLX1898340020022750","Depot In","SYDNEY","",""
"PLX019203","3a02cf69-1f79-4015-883c-58e8c1411b01","89885","17/11/2021 19:32 +11:00","PLX0192030010025162","Depot In","SYDNEY","",""
"PLX189906","","393503651002110744, 393503651002110805, 393503651002110775, 393503651002110768, 393503651002110751,","17/11/2021 19:33 +11:00","PLX1899060070072671","Depot In","SYDNEY","",""
"PLX189213","","393503651002110690, 393503651002110737, 393503651002110706, 393503651002110713, 393503651002110720","17/11/2021 19:34 +11:00","PLX1892130020085372","Depot In","SYDNEY","",""
"PLX189860","","393255522002539568","17/11/2021 19:34 +11:00","PLX1898600010012429","Depot In","SYDNEY","",""
"PLX189818","","393503651002110355, 393503651002110362, 393503651002110379, 393503651002110409, 393503651002110393,","17/11/2021 19:34 +11:00","PLX1898180010063216","Depot In","SYDNEY","",""
"PLX189904","","393503651002110300, 393503651002110324, 393503651002110317, 393503651002110171","17/11/2021 19:34 +11:00","PLX1899040020042747","Depot In","SYDNEY","",""
"PLX189213","","393503651002110690, 393503651002110737, 393503651002110706, 393503651002110713, 393503651002110720","17/11/2021 19:34 +11:00","PLX1892130010085372","Depot In","SYDNEY","",""
"PLX019198","d0dbec8d-9f81-46e7-82a5-daac8826285a","89614","17/11/2021 19:34 +11:00","PLX0191980020022370","Depot In","SYDNEY","",""
"PLX189910","","393255522002539575","17/11/2021 19:34 +11:00","PLX1899100010013136","Depot In","SYDNEY","",""
"PLX189828","","393503651002110140, 393503651002110164, 393503651002110157, 393503651002110133","17/11/2021 19:33 +11:00","PLX1898280020042450","Depot In","SYDNEY","",""
"PLX189906","","393503651002110744, 393503651002110805, 393503651002110775, 393503651002110768, 393503651002110751,","17/11/2021 19:33 +11:00","PLX1899060030072671","Depot In","SYDNEY","",""
"PLX189906","","393503651002110744, 393503651002110805, 393503651002110775, 393503651002110768, 393503651002110751,","17/11/2021 19:34 +11:00","PLX1899060060072671","Depot In","SYDNEY","",""
